,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
193,221,436,ybaW,b0443,NP_414977,WP_001194534.1,PCLA_878305,WP_001194543.1,PCLA_878305,NP_459450,ybaW,STM0454,MATCH
194,222,437,ybaX,b0444,NP_414978,WP_000817220.1,PCLA_431311,WP_000817201.1,PCLA_431311,NP_459451,ybaX,STM0455,MATCH
195,223,441,mdlA,b0448,NP_414982,WP_001235649.1,PCLA_431026,WP_001235572.1,PCLA_431026,NP_459456,mdlA,STM0460,MATCH
196,224,442,mdlB,b0449,NP_414983,WP_001256201.1,PCLA_431027,WP_001256070.1,PCLA_431027,NP_459457,mdlB,STM0461,MATCH
197,225,444,amtB,b0451,NP_414985,WP_000685029.1,PCLA_430908,WP_000684912.1,PCLA_430908,NP_459459,amtB,STM0463,MATCH
198,226,445,tesB,b0452,NP_414986,WP_000075876.1,PCLA_430774,WP_000084180.1,PCLA_430774,NP_459460,tesB,STM0464,MATCH
199,227,447,ybaZ,b0454,NP_414988,WP_001300427.1,PCLA_3021396,WP_000961285.1,PCLA_3021396,NP_459462,ybaZ,STM0466,MATCH
200,228,451,maa,b0459,NP_414992,WP_000102564.1,PCLA_430375,WP_001278792.1,PCLA_430375,NP_459467,maa,STM0472,MATCH
201,229,452,hha,b0460,NP_414993,WP_001291435.1,PCLA_431174,WP_001280991.1,PCLA_431174,NP_459468,hha,STM0473,MATCH
202,230,453,ybaJ,b0461,NP_414994,WP_000344800.1,PCLA_430909,WP_000344807.1,PCLA_430909,NP_459469,ybaJ,STM0474,MATCH
203,232,458,ybaM,b0466,NP_414999,WP_000051153.1,PCLA_431254,WP_000051161.1,PCLA_431254,NP_459475,ybaM,STM0480,MATCH
204,233,459,priC,b0467,NP_415000,WP_000844874.1,PCLA_430376,WP_000926658.1,PCLA_430376,NP_459476,priC,STM0481,MATCH
205,234,460,ybaN,b0468,NP_415001,WP_001188905.1,PCLA_430775,WP_001189860.1,PCLA_430775,NP_459477,ybaN,STM0482,MATCH
206,235,461,apt,b0469,NP_415002,WP_000127356.1,PCLA_415341,WP_000127350.1,PCLA_415341,NP_459478,apt,STM0483,MATCH
207,237,463,ybaB,b0471,NP_415004,WP_000467098.1,PCLA_414045,WP_000467098.1,PCLA_414045,NP_459480,ybaB,STM0485,MATCH
208,238,464,recR,b0472,NP_415005,WP_001195025.1,PCLA_413982,WP_001195023.1,PCLA_413982,NP_459481,recR,STM0486,MATCH
209,240,466,adk,b0474,NP_415007,WP_001220233.1,PCLA_123118,WP_001220237.1,PCLA_123118,NP_459483,adk,STM0488,MATCH
210,241,467,hemH,b0475,NP_415008,WP_001250103.1,PCLA_906551,WP_001250078.1,PCLA_906551,NP_459484,hemH,STM0489,MATCH
211,242,468,aes,b0476,NP_415009,WP_000801813.1,PCLA_430442,WP_000801786.1,PCLA_430442,NP_459485,aes,STM0490,MATCH
212,243,469,gsk,b0477,NP_415010,WP_000671574.1,PCLA_2846189,WP_000671592.1,PCLA_2846189,NP_459486,gsk,STM0491,MATCH
213,244,470,ybaL,b0478,NP_415011,WP_000546237.1,PCLA_430911,WP_000546207.1,PCLA_430911,NP_459487,ybaL,STM0492,MATCH
214,245,471,fsr,b0479,NP_415012,WP_001251608.1,PCLA_863544,WP_001251593.1,PCLA_863544,NP_459488,fsr,STM0493,MATCH
215,246,472,ushA,b0480,NP_415013,WP_000771748.1,PCLA_419651,WP_000670407.1,PCLA_419651,NP_459489,ushA,STM0494,MATCH
216,247,473,ybaK,b0481,NP_415014,WP_000186631.1,PCLA_430912,WP_000186618.1,PCLA_430912,NP_459490,ybaK,STM0495,MATCH
217,249,479,cueR,b0487,NP_415020,WP_001026747.1,PCLA_430506,WP_001026760.1,PCLA_430506,NP_459494,cueR,STM0499,MATCH
218,250,481,ybbK,b0489,NP_415022,WP_000904502.1,PCLA_862110,WP_000906146.1,PCLA_862110,NP_459496,ybbK,STM0501,MATCH
219,251,482,ybbL,b0490,NP_415023,WP_001157540.1,PCLA_430521,WP_000140195.1,PCLA_430521,NP_459497,ybbL,STM0502,MATCH
220,252,485,ybbO,b0493,NP_415026,WP_000148959.1,PCLA_418753,WP_001172802.1,PCLA_418753,NP_459500,ybbO,STM0505,MATCH
221,254,487,ybbA,b0495,NP_415028,WP_001110573.1,PCLA_430830,WP_001110598.1,PCLA_430830,NP_459502,ybbA,STM0507,MATCH
222,255,488,ybbP,b0496,NP_415029,WP_000561872.1,PCLA_879685,WP_000561776.1,PCLA_879685,NP_459503,ybbP,STM0508,MATCH
223,256,495,ybbB,b0503,NP_415036,WP_001157938.1,PCLA_431824,WP_001154078.1,PCLA_431824,NP_459508,ybbB,STM0513,MATCH
224,257,496,ybbS,b0504,NP_415037,WP_000460145.1,PCLA_430377,WP_000460169.1,PCLA_430377,NP_459509,ybbS,STM0514,MATCH
225,258,497,allA,b0505,NP_415038,WP_000776377.1,PCLA_3547192,WP_000764664.1,PCLA_3547192,NP_459510,allA,STM0515,MATCH
226,259,498,allR,b0506,NP_415039,WP_000141275.1,PCLA_430443,WP_000141265.1,PCLA_430443,NP_459511,allR,STM0516,MATCH
227,260,499,gcl,b0507,NP_415040,WP_001096881.1,PCLA_431426,WP_001096865.1,PCLA_431426,NP_459512,gcl,STM0517,MATCH
228,261,500,gip,b0508,NP_415041,WP_000943544.1,PCLA_430288,WP_000943591.1,PCLA_430288,NP_459513,gip,STM0518,MATCH
229,262,501,glxR,b0509,NP_415042,WP_000765839.1,PCLA_2846174,WP_000765810.1,PCLA_2846174,NP_459514,glxR,STM0519,MATCH
230,263,503,allB,b0512,NP_415045,WP_000006900.1,PCLA_211880,WP_000006865.1,PCLA_211880,NP_459518,allB,STM0523,MATCH
231,264,506,ylbA,b0515,NP_415048,WP_000540997.1,PCLA_2805798,WP_000540981.1,PCLA_2805798,NP_459521,ylbA,STM0526,MATCH
232,265,507,allC,b0516,NP_415049,WP_001310618.1,PCLA_3477427,WP_000589769.1,PCLA_3477427,NP_459522,allC,STM0527,MATCH
233,266,509,fdrA,b0518,NP_415051,WP_000580829.1,PCLA_417479,WP_000580915.1,PCLA_417479,NP_459524,fdrA,STM0529,MATCH
234,267,513,purK,b0522,NP_415055,WP_000815571.1,PCLA_3576024,WP_000815603.1,PCLA_3576024,NP_459528,purK,STM0533,MATCH
235,269,515,lpxH,b0524,NP_415057,WP_000212247.1,PCLA_209215,WP_000212284.1,PCLA_209215,NP_459530,lpxH,STM0535,MATCH
236,270,516,ppiB,b0525,NP_415058,WP_000255997.1,PCLA_431028,WP_000255991.1,PCLA_431028,NP_459531,ppiB,STM0536,MATCH
237,271,517,cysS,b0526,NP_415059,WP_000912385.1,PCLA_123100,WP_000912376.1,PCLA_123100,NP_459532,cysS,STM0537,MATCH
238,272,518,ybcI,b0527,NP_415060,WP_001143542.1,PCLA_879692,WP_001143507.1,PCLA_879692,NP_459535,ybcI,STM0540,MATCH
239,273,520,folD,b0529,NP_415062,WP_000729160.1,PCLA_4902158,WP_000729165.1,PCLA_4902158,NP_459537,folD,STM0542,MATCH
240,275,572,pheP,b0576,NP_415108,WP_000786319.1,PCLA_430513,WP_000786288.1,PCLA_430513,NP_459560,pheP,STM0568,MATCH
241,276,573,ybdG,b0577,NP_415109,WP_001153148.1,PCLA_873917,WP_001156978.1,PCLA_873917,NP_459561,ybdG,STM0569,MATCH
242,277,574,nfnB,b0578,NP_415110,WP_000351487.1,PCLA_431265,WP_000355879.1,PCLA_431265,NP_459570,nfnB,STM0578,MATCH
243,278,576,ybdJ,b0580,NP_415112,WP_000682509.1,PCLA_879701,WP_000682497.1,PCLA_879701,NP_459574,ybdJ,STM0582,MATCH
244,279,577,ybdK,b0581,NP_415113,WP_001130654.1,PCLA_3232877,WP_001196903.1,PCLA_3232877,NP_459575,ybdK,STM0583,MATCH
245,281,585,fepE,b0587,NP_415119,WP_000096692.1,PCLA_430647,WP_001139584.1,PCLA_430647,NP_459581,fepE,STM0589,MATCH
246,283,587,fepG,b0589,NP_415121,WP_000640988.1,PCLA_430701,WP_000480067.1,PCLA_430701,NP_459583,fepG,STM0591,MATCH
247,284,588,fepD,b0590,NP_415122,WP_000016947.1,PCLA_430702,WP_001277880.1,PCLA_430702,NP_459584,fepD,STM0592,MATCH
248,285,589,ybdA,b0591,NP_415123,WP_001041786.1,PCLA_430743,WP_001081661.1,PCLA_430743,NP_459585,ybdA,STM0593,MATCH
249,286,590,fepB,b0592,NP_415124,WP_001234311.1,PCLA_431184,WP_001238988.1,PCLA_431184,NP_459586,fepB,STM0594,MATCH
250,287,591,entC,b0593,NP_415125,WP_000381303.1,PCLA_2846131,WP_000367601.1,PCLA_2846131,NP_459587,entC,STM0595,MATCH
251,288,592,entE,b0594,NP_415126,WP_000026812.1,PCLA_431175,WP_001222445.1,PCLA_431175,NP_459588,entE,STM0596,MATCH
252,289,593,entB,b0595,NP_415127,WP_001007138.1,PCLA_2846261,WP_001007166.1,PCLA_2846261,NP_459589,entB,STM0597,MATCH
253,290,594,entA,b0596,NP_415128,WP_000347651.1,PCLA_212056,WP_000145522.1,PCLA_212056,NP_459590,entA,STM0598,MATCH
254,291,598,ybdH,b0599,NP_415132,WP_001120441.1,PCLA_430831,WP_001016847.1,PCLA_430831,NP_459594,ybdH,STM0602,MATCH
255,292,599,ybdL,b0600,NP_415133,WP_000183907.1,PCLA_212911,WP_001245592.1,PCLA_212911,NP_459595,ybdL,STM0603,MATCH
256,294,601,ybdN,b0602,NP_415135,WP_000029814.1,PCLA_879707,WP_000118144.1,PCLA_879707,NP_459597,ybdN,STM0605,MATCH
257,295,602,ybdO,b0603,NP_415136,WP_000002474.1,PCLA_879708,WP_000002497.1,PCLA_879708,NP_459598,ybdO,STM0606,MATCH
258,296,604,ahpC,b0605,NP_415138,WP_000052796.1,PCLA_430648,WP_000052802.1,PCLA_430648,NP_459600,ahpC,STM0608,MATCH
259,297,606,ybdQ,b0607,NP_415140,WP_000278509.1,PCLA_2912566,WP_000278499.1,PCLA_2912566,NP_459606,ybdQ,STM0614,MATCH
260,298,607,ybdR,b0608,NP_415141,WP_000646173.1,PCLA_867071,WP_000646113.1,PCLA_867071,NP_459607,ybdR,STM0615,MATCH
261,299,608,rnk,b0610,NP_415143,WP_000089731.1,PCLA_209598,WP_000089748.1,PCLA_209598,NP_459608,rnk,STM0616,MATCH
262,300,609,rna,b0611,NP_415144,WP_000643397.1,PCLA_430378,WP_001092580.1,PCLA_430378,NP_459609,rna,STM0617,MATCH
263,302,617,dpiB,b0619,NP_415152,WP_000939767.1,PCLA_2846168,WP_001277836.1,PCLA_2846168,NP_459617,dpiB,STM0625,MATCH
264,303,619,dcuC,b0621,NP_415154,WP_000955063.1,PCLA_430896,WP_000958610.1,PCLA_430896,NP_459619,dcuC,STM0627,MATCH
265,304,620,pagP,b0622,NP_415155,WP_001103094.1,PCLA_431260,WP_000289054.1,PCLA_431260,NP_459620,pagP,STM0628,MATCH
266,305,622,crcB,b0624,NP_415157,WP_000939747.1,PCLA_2516033,WP_000939753.1,PCLA_2516033,NP_459622,crcB,STM0630,MATCH
267,306,624,ybeC,b0627,NP_415160,WP_000503931.1,PCLA_416002,WP_000503938.1,PCLA_416002,NP_459624,ybeC,STM0632,MATCH
268,307,625,lipA,b0628,NP_415161,WP_000042632.1,PCLA_209351,WP_000042640.1,PCLA_209351,NP_459625,lipA,STM0633,MATCH
269,308,628,ybeD,b0631,NP_415164,WP_000850550.1,PCLA_501337,WP_000850547.1,PCLA_501337,NP_459628,ybeD,STM0636,MATCH
270,311,632,mrdA,b0635,NP_415168,WP_000776191.1,PCLA_431032,WP_000828700.1,PCLA_431032,NP_459632,mrdA,STM0640,MATCH
271,312,633,ybeA,b0636,NP_415169,WP_000776104.1,PCLA_3036672,WP_000776107.1,PCLA_3036672,NP_459633,ybeA,STM0641,MATCH
272,313,635,cobC,b0638,NP_415171,WP_001241872.1,PCLA_2846119,WP_001241924.1,PCLA_2846119,NP_459635,cobC,STM0643,MATCH
273,315,637,holA,b0640,NP_415173,WP_000620535.1,PCLA_417168,WP_000620491.1,PCLA_417168,NP_459638,holA,STM0646,MATCH
274,317,639,leuS,b0642,NP_415175,WP_001340834.1,PCLA_123227,WP_001157918.1,PCLA_123227,NP_459640,leuS,STM0648,MATCH
275,318,640,ybeL,b0643,NP_415176,WP_001044880.1,PCLA_431248,WP_001044884.1,PCLA_431248,NP_459645,ybeL,STM0653,MATCH
276,319,647,hscC,b0650,NP_415183,WP_000367875.1,PCLA_879716,WP_000368034.1,PCLA_879716,NP_459651,hscC,STM0659,MATCH
277,320,648,ybeK,b0651,NP_415184,WP_001207520.1,PCLA_430703,WP_001207419.1,PCLA_430703,NP_459653,ybeK,STM0661,MATCH
278,321,649,gltL,b0652,NP_415185,WP_000631384.1,PCLA_431325,WP_000631369.1,PCLA_431325,NP_459654,gltL,STM0662,MATCH
279,323,651,gltJ,b0654,NP_415187,WP_000020941.1,PCLA_2939828,WP_000020930.1,PCLA_2939828,NP_459656,gltJ,STM0664,MATCH
280,324,652,gltI,b0655,NP_415188,WP_001177086.1,PCLA_431034,WP_000588823.1,PCLA_431034,NP_459657,gltI,STM0665,MATCH
281,325,654,lnt,b0657,NP_415190,WP_000853021.1,PCLA_123141,WP_001575804.1,PCLA_123141,NP_459658,lnt,STM0666,MATCH
282,326,655,ybeX,b0658,NP_415191,WP_001278605.1,PCLA_2846209,WP_001278615.1,PCLA_2846209,NP_459659,ybeX,STM0667,MATCH
283,328,658,miaB,b0661,NP_415194,WP_000162740.1,PCLA_2516150,WP_001519200.1,PCLA_2516150,NP_459662,miaB,STM0670,MATCH
284,329,659,ubiF,b0662,NP_415195,WP_000184541.1,PCLA_418755,WP_000184633.1,PCLA_418755,NP_459663,ubiF,STM0671,MATCH
285,330,660,asnB,b0674,NP_415200,WP_000337077.1,PCLA_419573,WP_000337041.1,PCLA_419573,NP_459665,asnB,STM0680,MATCH
286,331,661,nagD,b0675,NP_415201,WP_000153129.1,PCLA_430704,WP_000153143.1,PCLA_430704,NP_459666,nagD,STM0681,MATCH
287,332,662,nagC,b0676,NP_415202,WP_000187594.1,PCLA_2939785,WP_000187577.1,PCLA_2939785,NP_459667,nagC,STM0682,MATCH
288,334,664,nagB,b0678,NP_415204,WP_001237072.1,PCLA_414115,WP_001237059.1,PCLA_414115,NP_459669,nagB,STM0684,MATCH
289,335,665,nagE,b0679,NP_415205,WP_001023093.1,PCLA_430528,WP_001023068.1,PCLA_430528,NP_459670,nagE,STM0685,MATCH
290,336,666,glnS,b0680,NP_415206,WP_001287154.1,PCLA_209221,WP_001287181.1,PCLA_209221,NP_459671,glnS,STM0686,MATCH
291,337,667,ybfM,b0681,NP_415207,WP_001258819.1,PCLA_2944753,WP_001258803.1,PCLA_2944753,NP_459672,ybfM,STM0687,MATCH
292,338,668,ybfN,b0682,NP_415208,WP_000733579.1,PCLA_879723,WP_000722261.1,PCLA_879723,NP_459673,ybfN,STM0688,MATCH
293,339,669,fur,b0683,NP_415209,WP_000131702.1,PCLA_419590,WP_000131699.1,PCLA_419590,NP_459678,fur,STM0693,MATCH
294,340,671,fldA,b0684,NP_415210,WP_001018618.1,PCLA_213094,WP_001018621.1,PCLA_213094,NP_459679,fldA,STM0694,MATCH
295,341,673,ybfF,b0686,NP_415212,WP_000773288.1,PCLA_430915,WP_000773246.1,PCLA_430915,NP_459681,ybfF,STM0696,MATCH
296,342,675,pgm,b0688,NP_415214,WP_001297249.1,PCLA_211402,WP_000974387.1,PCLA_211402,NP_459683,pgm,STM0698,MATCH
297,344,680,speF,b0693,NP_415220,WP_000040195.1,PCLA_987088,WP_001292402.1,PCLA_987088,NP_459686,speF,STM0701,MATCH
298,346,683,kdpD,b0695,NP_415223,WP_001310640.1,PCLA_430744,WP_000997487.1,PCLA_430744,NP_459688,kdpD,STM0703,MATCH
299,348,685,kdpB,b0697,NP_415225,WP_000087939.1,PCLA_414585,WP_000088022.1,PCLA_414585,NP_459690,kdpB,STM0705,MATCH
300,349,686,kdpA,b0698,NP_415226,WP_000741129.1,PCLA_209352,WP_000730065.1,PCLA_209352,NP_459691,kdpA,STM0706,MATCH
301,350,688,ybfA,b0699,NP_415228,WP_000424924.1,PCLA_879725,WP_000401437.1,PCLA_879725,NP_459693,ybfA,STM0708,MATCH
302,351,697,phrB,b0708,NP_415236,WP_000207142.1,PCLA_430916,WP_001142016.1,PCLA_430916,NP_459694,phrB,STM0709,MATCH
303,352,698,ybgH,b0709,NP_415237,WP_001032689.1,PCLA_2912572,WP_001041123.1,PCLA_2912572,NP_459695,ybgH,STM0710,MATCH
304,353,699,ybgI,b0710,NP_415238,WP_000798871.1,PCLA_431036,WP_000798844.1,PCLA_431036,NP_459696,ybgI,STM0711,MATCH
305,354,700,ybgJ,b0711,NP_415239,WP_001188343.1,PCLA_879730,WP_001188373.1,PCLA_879730,NP_459697,ybgJ,STM0712,MATCH
306,355,701,ybgK,b0712,NP_415240,WP_000912724.1,PCLA_879731,WP_000932050.1,PCLA_879731,NP_459698,ybgK,STM0713,MATCH
307,356,702,ybgL,b0713,NP_415241,WP_000687112.1,PCLA_2400634,WP_001017909.1,PCLA_2400634,NP_459699,ybgL,STM0714,MATCH
308,357,703,nei,b0714,NP_415242,WP_001113989.1,PCLA_430705,WP_001113970.1,PCLA_430705,NP_459713,nei,STM0728,MATCH
309,358,709,gltA,b0720,NP_415248,WP_000785834.1,PCLA_417201,WP_000785817.1,PCLA_417201,NP_459715,gltA,STM0730,MATCH
310,359,710,sdhC,b0721,NP_415249,WP_001308496.1,PCLA_419604,WP_001539490.1,PCLA_419604,NP_459717,sdhC,STM0732,MATCH
311,360,711,sdhD,b0722,NP_415250,WP_000254365.1,PCLA_419605,WP_000254356.1,PCLA_419605,NP_459718,sdhD,STM0733,MATCH
312,361,712,sdhA,b0723,NP_415251,WP_000775540.1,PCLA_419450,WP_000775561.1,PCLA_419450,NP_459719,sdhA,STM0734,MATCH
313,362,713,sdhB,b0724,NP_415252,WP_001235254.1,PCLA_209794,WP_000976880.1,PCLA_209794,NP_459720,sdhB,STM0735,MATCH
314,363,714,sucA,b0726,NP_415254,WP_001181473.1,PCLA_3033872,WP_001181501.1,PCLA_3033872,NP_459721,sucA,STM0736,MATCH
315,364,715,sucB,b0727,NP_415255,WP_000099823.1,PCLA_209549,WP_000099858.1,PCLA_209549,NP_459722,sucB,STM0737,MATCH
316,365,716,sucC,b0728,NP_415256,WP_001048602.1,PCLA_414302,WP_001048590.1,PCLA_414302,NP_459723,sucC,STM0738,MATCH
317,366,717,sucD,b0729,NP_415257,WP_000025458.1,PCLA_209523,WP_000114631.1,PCLA_209523,NP_459724,sucD,STM0739,MATCH
318,367,724,ybgE,b0735,NP_415263,WP_000034602.1,PCLA_430833,WP_000875305.1,PCLA_430833,NP_459728,ybgE,STM0743,MATCH
319,368,725,ybgC,b0736,NP_415264,WP_001098384.1,PCLA_431037,WP_001046240.1,PCLA_431037,NP_459729,ybgC,STM0744,MATCH
320,369,726,tolQ,b0737,NP_415265,WP_000131314.1,PCLA_431038,WP_000131318.1,PCLA_431038,NP_459730,tolQ,STM0745,MATCH
321,370,727,tolR,b0738,NP_415266,WP_000090097.1,PCLA_431240,WP_000124676.1,PCLA_431240,NP_459731,tolR,STM0746,MATCH
322,371,728,tolA,b0739,NP_415267,WP_000030637.1,PCLA_213313,WP_000030590.1,PCLA_213313,NP_459732,tolA,STM0747,MATCH
323,372,729,tolB,b0740,NP_415268,WP_001295307.1,PCLA_501285,WP_001562341.1,PCLA_501285,NP_459733,tolB,STM0748,MATCH
324,373,730,pal,b0741,NP_415269,WP_001295306.1,PCLA_431039,WP_001176621.1,PCLA_431039,NP_459734,pal,STM0749,MATCH
325,374,731,ybgF,b0742,NP_415270,WP_000097571.1,PCLA_431040,WP_000097552.1,PCLA_431040,NP_459735,ybgF,STM0750,MATCH
326,375,732,nadA,b0750,NP_415271,WP_000115290.1,PCLA_213191,WP_000115347.1,PCLA_213191,NP_459736,nadA,STM0756,MATCH
327,376,733,pnuC,b0751,NP_415272,WP_000345410.1,PCLA_2912507,WP_000345368.1,PCLA_2912507,NP_459737,pnuC,STM0757,MATCH
328,377,734,ybgR,b0752,NP_415273,WP_000951292.1,PCLA_415969,WP_000951251.1,PCLA_415969,NP_459738,ybgR,STM0758,MATCH
329,378,735,ybgS,b0753,NP_415274,WP_000784351.1,PCLA_879746,WP_000784380.1,PCLA_879746,NP_459739,ybgS,STM0759,MATCH
330,379,736,aroG,b0754,NP_415275,WP_001109196.1,PCLA_213088,WP_001109234.1,PCLA_213088,NP_459740,aroG,STM0760,MATCH
331,380,737,gpmA,b0755,NP_415276,WP_001295305.1,PCLA_2502190,WP_000301556.1,PCLA_2502190,NP_459751,gpmA,STM0772,MATCH
332,382,739,galK,b0757,NP_415278,WP_000053415.1,PCLA_417032,WP_001049367.1,PCLA_417032,NP_459753,galK,STM0774,MATCH
333,384,742,modF,b0760,NP_415281,WP_000096869.1,PCLA_431168,WP_000096928.1,PCLA_431168,NP_459757,modF,STM0778,MATCH
334,385,743,modE,b0761,NP_415282,WP_001147439.1,PCLA_430918,WP_001147410.1,PCLA_430918,NP_459758,modE,STM0779,MATCH
335,387,745,modA,b0763,NP_415284,WP_000101984.1,PCLA_430919,WP_000951416.1,PCLA_430919,NP_459760,modA,STM0781,MATCH
336,388,746,modB,b0764,NP_415285,WP_000604034.1,PCLA_213229,WP_000604026.1,PCLA_213229,NP_459761,modB,STM0782,MATCH
337,389,747,modC,b0765,NP_415286,WP_000891692.1,PCLA_431341,WP_000891710.1,PCLA_431341,NP_459762,modC,STM0783,MATCH
338,390,748,ybhA,b0766,NP_415287,WP_001300666.1,PCLA_430778,WP_000127031.1,PCLA_430778,NP_459763,ybhA,STM0784,MATCH
339,391,749,ybhE,b0767,NP_415288,WP_000815435.1,PCLA_431244,WP_000815468.1,PCLA_431244,NP_459764,ybhE,STM0785,MATCH
340,392,755,ybhB,b0773,NP_415294,WP_000767389.1,PCLA_430530,WP_000767419.1,PCLA_430530,NP_459770,ybhB,STM0792,MATCH
341,393,756,bioA,b0774,NP_415295,WP_001295303.1,PCLA_211823,WP_000205518.1,PCLA_211823,NP_459771,bioA,STM0793,MATCH
342,394,757,bioB,b0775,NP_415296,WP_000951213.1,PCLA_2846223,WP_000090729.1,PCLA_2846223,NP_459772,bioB,STM0794,MATCH
343,395,758,bioF,b0776,NP_415297,WP_000118826.1,PCLA_417386,WP_000118953.1,PCLA_417386,NP_459773,bioF,STM0795,MATCH
344,396,759,bioC,b0777,NP_415298,WP_000246761.1,PCLA_430531,WP_000079909.1,PCLA_430531,NP_459774,bioC,STM0796,MATCH
345,397,760,bioD,b0778,NP_415299,WP_000044843.1,PCLA_413995,WP_000167222.1,PCLA_413995,NP_459775,bioD,STM0797,MATCH
346,398,761,uvrB,b0779,NP_415300,WP_000042533.1,PCLA_209174,WP_000042502.1,PCLA_209174,NP_459776,uvrB,STM0798,MATCH
347,399,762,ybhK,b0780,NP_415301,WP_001295302.1,PCLA_870174,WP_001246033.1,PCLA_870174,NP_459779,ybhK,STM0801,MATCH
348,400,763,moaA,b0781,NP_415302,WP_001350494.1,PCLA_414052,WP_000168180.1,PCLA_414052,NP_459780,moaA,STM0802,MATCH
349,402,765,moaC,b0783,NP_415304,WP_000080885.1,PCLA_213180,WP_000080894.1,PCLA_213180,NP_459782,moaC,STM0804,MATCH
350,403,766,moaD,b0784,NP_415305,WP_000598619.1,PCLA_431330,WP_001575835.1,PCLA_431330,NP_459783,moaD,STM0805,MATCH
351,404,767,moaE,b0785,NP_415306,WP_000852296.1,PCLA_430920,WP_000545202.1,PCLA_430920,NP_459784,moaE,STM0806,MATCH
352,405,768,ybhL,b0786,NP_415307,WP_000373624.1,PCLA_879764,WP_000373611.1,PCLA_879764,NP_459785,ybhL,STM0807,MATCH
353,407,771,ybhO,b0789,NP_415310,WP_000650337.1,PCLA_431420,WP_000649648.1,PCLA_431420,NP_459790,ybhO,STM0812,MATCH
354,409,774,ybhR,b0792,NP_415313,WP_000469031.1,PCLA_879768,WP_000469050.1,PCLA_879768,NP_459793,ybhR,STM0815,MATCH
355,411,779,rhlE,b0797,NP_415318,WP_000007101.1,PCLA_430835,WP_000007060.1,PCLA_430835,NP_459798,rhlE,STM0820,MATCH
356,412,781,dinG,b0799,NP_415320,WP_001340191.1,PCLA_431802,WP_001218630.1,PCLA_431802,NP_459799,dinG,STM0821,MATCH
357,413,782,ybiB,b0800,NP_415321,WP_000386551.1,PCLA_418817,WP_000386494.1,PCLA_418817,NP_459800,ybiB,STM0822,MATCH
358,414,784,ybiJ,b0802,NP_415323,WP_000849301.1,PCLA_430532,WP_000849089.1,PCLA_430532,NP_459801,ybiJ,STM0823,MATCH
359,415,785,ybiI,b0803,NP_415324,WP_000146343.1,PCLA_431235,WP_000146330.1,PCLA_431235,NP_459802,ybiI,STM0825,MATCH
360,416,791,glnQ,b0809,NP_415330,WP_000569083.1,PCLA_419610,WP_000569093.1,PCLA_419610,NP_459805,glnQ,STM0828,MATCH
361,418,793,glnH,b0811,NP_415332,WP_000843866.1,PCLA_419612,WP_000838671.1,PCLA_419612,NP_459807,glnH,STM0830,MATCH
362,419,794,dps,b0812,NP_415333,WP_000100800.1,PCLA_213252,WP_000100805.1,PCLA_213252,NP_459808,dps,STM0831,MATCH
363,420,795,ybiF,b0813,NP_415334,WP_001295297.1,PCLA_430780,WP_001119554.1,PCLA_430780,NP_459809,ybiF,STM0832,MATCH
364,421,796,ompX,b0814,NP_415335,WP_001295296.1,PCLA_419564,WP_000716763.1,PCLA_419564,NP_459810,ompX,STM0833,MATCH
365,422,797,ybiP,b0815,NP_415336,WP_001054678.1,PCLA_879772,WP_001089314.1,PCLA_879772,NP_459811,ybiP,STM0834,MATCH
366,424,800,ybiR,b0818,NP_415339,WP_000056457.1,PCLA_879774,WP_000050088.1,PCLA_879774,NP_459813,ybiR,STM0836,MATCH
367,425,801,ybiS,b0819,NP_415340,WP_001056384.1,PCLA_430533,WP_001056404.1,PCLA_430533,NP_459814,ybiS,STM0837,MATCH
368,426,802,ybiT,b0820,NP_415341,WP_000961458.1,PCLA_2846179,WP_000961479.1,PCLA_2846179,NP_459815,ybiT,STM0838,MATCH
369,427,803,ybiU,b0821,NP_415342,WP_000168797.1,PCLA_879775,WP_000210950.1,PCLA_879775,NP_459818,ybiU,STM0841,MATCH
371,429,805,pflF,b0823,NP_415344,WP_000209309.1,PCLA_880920,WP_000192673.1,PCLA_880920,NP_459820,pflF,STM0843,MATCH
372,431,809,moeA,b0827,NP_415348,WP_000397340.1,PCLA_430922,WP_014343820.1,PCLA_430922,NP_459823,moeA,STM0846,MATCH
373,432,810,ybiK,b0828,NP_415349,WP_000513781.1,PCLA_430505,WP_001030503.1,PCLA_430505,NP_459824,ybiK,STM0847,MATCH
374,433,812,yliB,b0830,NP_415351,WP_000090140.1,PCLA_2912523,WP_000191434.1,PCLA_2912523,NP_459826,yliB,STM0849,MATCH
375,434,813,yliC,b0831,NP_415352,WP_000936043.1,PCLA_2846196,WP_000936064.1,PCLA_2846196,NP_459827,yliC,STM0850,MATCH
376,435,814,yliD,b0832,NP_415353,WP_001236051.1,PCLA_2846197,WP_001236024.1,PCLA_2846197,NP_459828,yliD,STM0851,MATCH
377,436,817,yliG,b0835,NP_415356,WP_000049367.1,PCLA_2845977,WP_000073317.1,PCLA_2845977,NP_459829,yliG,STM0852,MATCH
378,437,818,yliH,b0836,NP_415357,WP_000497137.1,PCLA_501528,WP_000259651.1,PCLA_501528,NP_459830,yliH,STM0853,MATCH
